Nh1,Nh2,Nh3,Nh4,activation_function,dropout_prob_1,dropout_prob_2,dropout_prob_3,dropout_prob_4,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time [min]
8,256,64,64,Tanh(),0,0.5,0.35,0,0.001,1E-05,20,200,0.356115639209747,0.259831637144089,0.485902009805044
64,64,128,32,ReLU(),0,0.35,0.35,0,0.0005,1E-05,20,100,0.517290532588959,0.288510084152222,0.287889668146769
256,256,64,8,ReLU(),0,0,0.15,0,0.0005,0.0005,40,300,0.349154204130173,0.253510534763336,0.42745698372523
64,16,64,128,Tanh(),0,0.15,0,0,0.0001,0.0001,40,300,0.315877854824066,0.300197750329971,1.61934006770452
128,256,64,8,ReLU(),0,0,0,0,0.005,0.001,40,300,0.362204670906067,0.275678813457489,0.313092038631439
8,32,32,64,Tanh(),0,0.35,0.5,0,0.01,0.001,40,300,0.499202162027359,0.238084882497787,0.409317940076192
16,256,32,16,ReLU(),0,0.5,0,0,0.01,0.0001,20,400,0.365190327167511,0.248739808797836,0.579794890880585
8,64,128,32,Tanh(),0,0.5,0.15,0,0.0001,5E-05,30,400,0.413690328598022,0.307279825210571,1.49588749965032
64,16,64,32,ReLU(),0,0.15,0.35,0,0.0001,0.0001,20,400,0.543612599372864,0.349479109048843,1.53458785057068
8,256,64,128,ReLU(),0,0.5,0.15,0,0.0001,0,40,300,0.484447091817856,0.345999956130981,0.936941056251526
32,32,128,8,ReLU(),0,0,0,0,0.0005,1E-05,50,400,0.226823925971985,0.280286490917206,0.855662225882212
64,256,64,8,Tanh(),0,0.5,0,0,0.001,0.0001,30,300,0.290857285261154,0.275380313396454,0.774783953030904
16,8,256,16,ReLU(),0,0,0.35,0,0.0001,0.001,20,100,0.718705296516418,0.534942269325256,0.969607463677724
64,128,128,32,ReLU(),0,0.35,0.35,0,0.0005,0,30,100,0.488291174173355,0.30474391579628,0.25247807820638
16,16,16,32,Tanh(),0,0,0.5,0,0.01,0.0001,20,400,0.520179092884064,0.268573760986328,0.606739231745402
