Nh1,Nh2,Nh3,dropout_prob_1,dropout_prob_2,dropout_prob_3,activation_function,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
16,32,8,0.5,0.35,0.0,Tanh(),0.0001,0.0,40,100,4.821777820587158,5.168060302734375,1.14823535044988
16,32,64,0.15,0.15,0.0,Tanh(),0.0001,0.0001,20,300,0.4005397856235504,0.34290817379951477,2.596611907482147
16,64,64,0.35,0.15,0.0,Tanh(),0.001,1e-05,50,300,0.4674767851829529,0.3583625257015228,0.38813604434331256
8,64,16,0.0,0.5,0.15,Tanh(),0.005,1e-05,40,300,1.475152611732483,1.7326087951660156,0.36476405620574953
32,64,32,0.15,0.35,0.15,Tanh(),0.005,5e-05,20,100,0.6474206447601318,0.48909759521484375,0.12543824116388957
16,256,32,0.0,0.0,0.15,ReLU(),0.001,5e-05,20,400,0.3873915672302246,0.47851499915122986,0.5047457146644592
16,256,64,0.0,0.5,0.15,ReLU(),0.005,0.0,20,200,0.44323864579200745,0.40571990609169006,0.27967135588328046
64,128,16,0.5,0.0,0.0,Tanh(),0.0005,0.0001,40,100,1.048803687095642,1.4941859245300293,0.21312708298365277
16,32,16,0.15,0.35,0.35,ReLU(),0.0001,5e-05,20,400,1.1749491691589355,0.7111332416534424,3.464156688849131
8,256,32,0.15,0.35,0.35,Tanh(),0.001,5e-05,20,300,0.881068229675293,0.4432995915412903,0.6387307325998942
32,64,8,0.15,0.15,0.35,ReLU(),0.0001,5e-05,40,300,2.130120277404785,1.4465512037277222,1.5679669340451559
32,32,8,0.35,0.35,0.15,ReLU(),0.0001,1e-05,50,400,2.002981424331665,1.2869881391525269,2.1154718542098996
16,32,32,0.5,0.5,0.15,ReLU(),0.0005,0.0,30,100,2.7856812477111816,3.372575283050537,0.15267722447713217
64,128,8,0.5,0.35,0.0,Tanh(),0.001,1e-05,40,100,2.240272045135498,2.2107350826263428,0.11567361990610758
32,64,16,0.15,0.0,0.35,Tanh(),0.001,0.0,20,400,0.5496832132339478,0.31014496088027954,1.177468729019165
8,64,32,0.35,0.0,0.15,ReLU(),0.001,0.0,30,200,1.1722209453582764,3.7742221355438232,0.18418428421020508
64,128,8,0.35,0.35,0.15,Tanh(),0.005,5e-05,50,300,1.0509028434753418,0.794047474861145,0.5396546252568564
64,256,16,0.35,0.5,0.35,Tanh(),0.001,1e-05,40,300,1.773355484008789,1.7149617671966553,0.48050679604212443
16,256,16,0.35,0.35,0.0,ReLU(),0.0005,0.0,50,100,1.4048950672149658,2.0188839435577393,0.2489952492713928
64,256,8,0.5,0.35,0.35,Tanh(),0.001,1e-05,30,400,1.8240292072296143,1.2967004776000977,1.226854906876882
8,256,8,0.5,0.5,0.0,ReLU(),0.0005,0.0,20,300,1.998626947402954,3.730309247970581,0.3070877011617025
16,256,64,0.5,0.15,0.15,ReLU(),0.0001,0.0,40,300,1.9030946493148804,3.3268418312072754,0.5452784752845764
16,256,8,0.5,0.5,0.5,Tanh(),0.001,5e-05,30,400,2.4822208881378174,2.0990488529205322,0.7597071981430054
64,32,32,0.0,0.15,0.35,Tanh(),0.005,0.0,30,100,0.7274618744850159,0.49607476592063904,0.15362394014994302
64,256,32,0.0,0.35,0.15,Tanh(),0.001,0.0001,50,400,0.8574451208114624,0.8838208317756653,0.3937169416745504
16,64,8,0.15,0.5,0.15,Tanh(),0.0001,5e-05,30,300,2.557237148284912,2.171696424484253,0.8206849336624146
16,128,32,0.15,0.15,0.0,Tanh(),0.0001,5e-05,50,100,0.8899846076965332,0.8328211903572083,1.0144394699732462
8,256,16,0.15,0.5,0.5,ReLU(),0.001,1e-05,40,100,1.9259636402130127,1.494139313697815,0.2506462995211284
16,32,8,0.15,0.15,0.35,Tanh(),0.005,0.0,20,100,2.3461525440216064,2.2071290016174316,0.15281219561894735
16,32,16,0.0,0.35,0.35,ReLU(),0.0005,1e-05,40,200,0.9167037010192871,0.5032699108123779,0.7552536733945211
16,256,16,0.0,0.15,0.35,ReLU(),0.005,1e-05,50,100,1.1158186197280884,0.6614447236061096,0.11323969841003419
16,256,64,0.0,0.15,0.0,ReLU(),0.005,0.0001,30,300,0.27775493264198303,0.3642125129699707,0.411954824924469
16,32,32,0.5,0.35,0.15,ReLU(),0.001,5e-05,40,100,2.5372402667999268,3.27764892578125,0.10688018878300984
32,256,16,0.5,0.0,0.5,ReLU(),0.005,5e-05,30,400,1.310157060623169,3.094602346420288,0.3753805947303772
32,256,32,0.15,0.5,0.0,Tanh(),0.005,1e-05,40,200,1.5902513265609741,1.6872555017471313,0.2399299701054891
8,32,64,0.35,0.15,0.0,Tanh(),0.001,1e-05,20,400,0.688461184501648,0.4061325192451477,0.4644891190528869
