Nh1,Nh2,Nh3,Nh4,activation_function,dropout_prob_1,dropout_prob_2,dropout_prob_3,dropout_prob_4,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
128,8,256,8,ReLU(),0,0.0,0.5,0,0.005,0.0005,30,300,0.31645315885543823,0.4425061345100403,0.5480621854464214
256,32,32,32,Tanh(),0,0.5,0.35,0,0.0005,5e-05,50,100,1.341248869895935,1.1432688236236572,0.3091160392761231
32,8,32,32,ReLU(),0,0.15,0.35,0,0.0001,5e-05,20,100,1.0327852964401243,0.958717167377472,1.2811806996663413
128,64,32,32,ReLU(),0,0.15,0.15,0,0.001,5e-05,20,100,0.4659485220909119,0.3859151005744934,0.20030334393183388
16,256,16,32,Tanh(),0,0.5,0.15,0,0.005,0.0,20,200,1.1792067289352417,1.7302207946777344,0.2702268791198731
8,64,128,8,Tanh(),0,0.35,0.5,0,0.005,0.0,20,200,1.0038135051727295,1.3105920553207395,0.3171593681971232
32,64,32,8,ReLU(),0,0.35,0.5,0,0.0005,0.0,50,100,0.6903382539749146,0.3706168234348297,0.4989151175816854
256,128,32,256,Tanh(),0,0.0,0.35,0,0.0001,0.001,20,300,0.3708333969116211,0.3184705376625061,0.7316667302449544
16,16,256,16,ReLU(),0,0.0,0.15,0,0.001,0.001,40,200,0.23197472095489505,0.29691290855407715,0.41119791030883773
32,64,32,64,Tanh(),0,0.0,0.35,0,0.0005,5e-05,50,300,0.3102417886257172,0.326946884393692,0.4159092489878337
32,128,64,8,Tanh(),0,0.15,0.0,0,0.0005,0.0,50,200,2.1445257663726807,2.206240177154541,0.3322507890065511
32,256,128,32,ReLU(),0,0.35,0.15,0,0.0001,0.001,40,300,0.3397793173789978,0.3260412812232971,0.8105562837918601
16,128,256,256,Tanh(),0,0.0,0.15,0,0.001,0.0001,20,300,0.220226526260376,0.3226808905601501,0.4837698141733806
64,128,8,64,ReLU(),0,0.35,0.15,0,0.005,0.0001,40,200,0.4324978291988373,0.5327932238578796,0.24427438894907635
16,128,8,128,ReLU(),0,0.5,0.15,0,0.005,0.0005,50,100,0.5033590197563171,0.6427163481712341,0.1411616619427999
256,32,16,256,Tanh(),0,0.35,0.15,0,0.005,0.0005,30,200,0.5425173640251161,0.5011248588562012,0.26889196077982586
64,64,8,8,Tanh(),0,0.35,0.5,0,0.0005,0.0005,50,300,2.311719417572021,2.2773258686065674,0.3188437406222025
8,256,16,256,ReLU(),0,0.5,0.5,0,0.0001,0.0001,30,200,2.0806221961975098,2.988272428512573,0.20868511517842608
128,128,64,32,Tanh(),0,0.35,0.0,0,0.005,0.0,40,200,0.2716946005821228,0.4475569128990173,0.23325790723164874
8,64,64,8,ReLU(),0,0.15,0.35,0,0.005,0.0005,20,300,0.37098178267478943,0.41801953315734863,0.40232416152954104
16,256,8,8,ReLU(),0,0.35,0.0,0,0.001,0.0005,20,400,0.27469709515571594,0.3244052529335022,0.5364270003636677
64,128,128,128,Tanh(),0,0.0,0.5,0,0.0005,1e-05,20,100,0.334737628698349,0.3493221402168274,0.18257726033528648
256,32,32,8,Tanh(),0,0.0,0.35,0,0.0005,1e-05,20,400,1.0117943286895752,1.1029216051101685,0.7969836600621542
16,32,16,8,ReLU(),0,0.5,0.35,0,0.001,5e-05,20,300,0.6180086135864258,0.4595617651939392,0.7012730137507119
128,8,64,16,Tanh(),0,0.0,0.35,0,0.0001,1e-05,30,200,2.1678094863891597,2.2300610542297363,0.36428032557169604
32,64,128,8,Tanh(),0,0.15,0.15,0,0.05,5e-05,50,400,3.4230475425720215,3.63224458694458,0.5352888075510661
32,256,256,256,Tanh(),0,0.15,0.0,0,0.0005,0.001,20,200,0.2641862630844116,0.31681257486343384,0.4251498476664225
64,128,256,256,Tanh(),0,0.15,0.5,0,0.001,1e-05,20,200,0.287614643573761,0.3682995140552521,0.4426062933603922
32,32,64,16,ReLU(),0,0.0,0.0,0,0.001,0.0,40,400,0.1693648397922516,0.3078889846801758,0.8650973773002624
16,8,8,32,Tanh(),0,0.15,0.5,0,0.0001,0.0005,40,400,1.8550207614898682,1.824424147605896,2.1345796815554303
8,32,8,128,Tanh(),0,0.0,0.0,0,0.0005,5e-05,20,300,0.24470067024230957,0.3030480742454529,0.7561690163612366
16,64,128,16,ReLU(),0,0.0,0.5,0,0.0005,5e-05,40,100,0.41321539878845215,0.35139185190200806,0.42596191565195723
64,256,32,64,Tanh(),0,0.35,0.15,0,0.001,5e-05,50,200,0.4516618847846985,0.38641709089279175,0.37245376904805505
8,8,256,256,ReLU(),0,0.5,0.15,0,0.0005,1e-05,20,200,0.9682499766349792,6.4271650314331055,0.2342092442512512
128,8,64,128,ReLU(),0,0.0,0.5,0,0.0001,0.0,20,200,0.5368798971176147,0.5002056956291199,0.9251551262537638
256,16,64,256,ReLU(),0,0.15,0.0,0,0.0005,0.001,40,100,0.3615763485431671,0.7715481519699097,0.20929154396057129
16,128,256,16,ReLU(),0,0.0,0.35,0,0.005,0.001,50,300,0.2739776074886322,0.3701460361480713,0.40114798069000246
