Nh1,Nh2,Nh3,dropout_prob_1,dropout_prob_2,dropout_prob_3,activation_function,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
32,64,128,0.5,0.35,0.5,Tanh(),0.0001,1e-05,30,200,1.5498600006103516,1.4948585033416748,1.1168494923909504
64,64,128,0.35,0.0,0.0,Tanh(),0.001,0.0005,20,400,0.5095914602279663,0.3729519248008728,0.5774102298418681
128,256,16,0.5,0.5,0.15,ReLU(),0.005,0.0001,20,300,0.7910569906234741,0.6449371576309204,0.41659567435582484
64,64,256,0.35,0.5,0.15,ReLU(),0.0005,1e-05,40,100,1.985762357711792,3.5249786376953125,0.14058772722880047
64,8,128,0.15,0.35,0.0,Tanh(),0.0001,5e-05,50,300,1.0461152791976929,0.5898915529251099,2.3331132793426512
32,128,8,0.35,0.0,0.0,ReLU(),0.001,0.0001,50,300,1.342073678970337,1.991748571395874,0.29067868550618486
128,8,32,0.35,0.35,0.35,ReLU(),0.001,0.0005,50,400,1.0907766819000244,3.6978602409362793,0.42582364320755006
16,32,8,0.5,0.0,0.5,ReLU(),0.005,0.0005,40,400,0.7877792716026306,7.823488712310791,0.3476712044080098
32,8,128,0.15,0.0,0.35,Tanh(),0.0001,0.0,20,100,2.2402055263519287,2.176244020462036,0.5367931294441223
8,16,32,0.5,0.0,0.0,ReLU(),0.005,0.001,30,300,1.1516867876052856,5.859795570373535,0.32890864451726276
256,256,256,0.0,0.15,0.15,ReLU(),0.005,0.0,50,100,0.43100064992904663,0.4182795584201813,0.13464805364608765
16,64,256,0.35,0.5,0.15,ReLU(),0.005,5e-05,50,400,1.0841143131256104,2.8670449256896973,0.34813349962234497
64,16,256,0.0,0.0,0.35,ReLU(),0.001,0.001,30,300,0.49437934160232544,0.3545985221862793,0.3964427630106608
128,128,32,0.15,0.15,0.35,ReLU(),0.005,0.0001,40,400,0.6104546785354614,0.5093275308609009,0.41301168044408165
32,256,8,0.0,0.35,0.15,ReLU(),0.001,0.0005,30,400,0.2932221293449402,0.506784200668335,0.6759841895103454
64,64,64,0.35,0.0,0.5,ReLU(),0.001,0.0,40,400,0.6024829745292664,1.5974321365356445,0.3319274417559306
128,64,32,0.5,0.0,0.15,ReLU(),0.001,1e-05,30,100,1.1583518981933594,0.7701632380485535,0.294403436978658
16,8,128,0.5,0.0,0.35,ReLU(),0.0001,0.0001,40,200,2.4427390098571777,2.788466215133667,0.3674680097897848
256,256,64,0.15,0.5,0.0,ReLU(),0.0001,5e-05,30,100,0.6959900856018066,0.43619394302368164,0.6146029527982076
16,16,8,0.0,0.5,0.0,ReLU(),0.0005,0.0005,30,100,1.6130950450897217,2.1780104637145996,0.27054771343866985
8,256,32,0.15,0.0,0.35,Tanh(),0.005,5e-05,20,300,0.5890781879425049,0.6371210813522339,0.5635169458389282
128,64,8,0.35,0.0,0.35,ReLU(),0.0005,0.001,20,100,1.3938522338867188,1.7188434600830078,0.3474118932088216
64,32,8,0.5,0.5,0.15,Tanh(),0.001,1e-05,20,400,0.979310154914856,0.6152656674385071,0.6960928614934285
8,256,32,0.15,0.0,0.0,Tanh(),0.0001,0.0005,50,200,0.5067247152328491,0.34151023626327515,0.9801944621404012
256,32,32,0.35,0.5,0.5,Tanh(),0.0001,0.0005,40,300,1.209851861000061,0.6347052454948425,1.5071231317520142
256,128,16,0.35,0.0,0.0,Tanh(),0.005,0.0005,20,200,0.5813823938369751,0.5891084671020508,0.35016032139460246
256,256,128,0.15,0.15,0.35,ReLU(),0.001,0.0005,40,400,0.49094080924987793,0.36601966619491577,0.534858402411143
8,16,256,0.5,0.0,0.15,Tanh(),0.005,0.0,50,300,1.1001538038253784,0.7845490574836731,0.35103837251663206
256,64,16,0.15,0.5,0.35,ReLU(),0.001,0.0001,30,400,0.7870117425918579,1.3044755458831787,0.5379487816492716
8,32,16,0.5,0.35,0.15,Tanh(),0.001,0.0,20,200,1.7446110248565674,0.8105838894844055,0.6370420424143474
128,8,256,0.15,0.0,0.0,Tanh(),0.0005,5e-05,40,400,0.3818511664867401,0.32387006282806396,0.4947690804799397
256,8,32,0.15,0.15,0.15,ReLU(),0.0001,0.0005,40,200,1.47371506690979,1.1589456796646118,0.8515031019846597
128,128,32,0.15,0.0,0.35,Tanh(),0.005,0.0005,30,300,0.9163699150085449,0.7322207093238831,0.41724019368489584
16,128,256,0.15,0.5,0.35,ReLU(),0.005,0.0005,50,100,0.8346899747848511,1.2151789665222168,0.15041116714477537
8,8,256,0.5,0.15,0.15,ReLU(),0.0001,1e-05,40,300,2.7210330963134766,3.265331983566284,0.3151665695508321
32,64,256,0.15,0.15,0.15,ReLU(),0.005,0.001,40,300,0.508297860622406,0.669737696647644,0.38245658715566
16,128,128,0.35,0.15,0.5,Tanh(),0.0001,1e-05,50,400,2.3326456546783447,2.1922717094421387,0.8863608678181967
128,16,128,0.15,0.15,0.35,Tanh(),0.001,0.0005,50,100,0.5256521105766296,0.3715464472770691,0.19239190260569256
16,32,8,0.0,0.0,0.5,ReLU(),0.005,0.001,40,100,1.5057939291000366,2.2350430488586426,0.12661869684855143
64,16,32,0.35,0.15,0.0,ReLU(),0.0005,0.001,30,400,0.8465232849121094,0.8877025842666626,0.7782610670725505
256,8,256,0.5,0.5,0.15,Tanh(),0.0005,1e-05,30,100,1.2756502628326416,0.7646879553794861,0.32919683694839474
64,64,128,0.15,0.15,0.15,Tanh(),0.0001,0.0,20,400,0.7119764685630798,0.35852792859077454,2.0533310945828758
32,64,256,0.35,0.35,0.0,ReLU(),0.005,0.0005,50,400,0.7177318930625916,1.2113664150238037,0.4141409929593404
16,32,256,0.15,0.0,0.15,Tanh(),0.0001,5e-05,20,100,0.785133957862854,0.6983145475387573,1.1126189462343852
256,32,256,0.35,0.0,0.5,ReLU(),0.005,0.0001,20,400,0.5473240613937378,0.43629446625709534,0.7039751410484314
128,64,64,0.15,0.0,0.0,ReLU(),0.005,0.0005,20,400,0.4033450186252594,0.4054553508758545,0.5228017338116964
16,16,8,0.35,0.0,0.5,ReLU(),0.0005,0.001,50,300,2.4457385540008545,4.13346529006958,0.25346980969111127
64,16,32,0.35,0.0,0.15,Tanh(),0.005,1e-05,40,300,0.4435657858848572,0.3635050654411316,0.35619892915089924
256,128,32,0.15,0.5,0.35,Tanh(),0.0005,0.0001,30,400,0.7704125642776489,0.8469382524490356,1.064856566588084
128,256,64,0.0,0.0,0.35,Tanh(),0.0001,5e-05,20,400,0.7286314368247986,0.3652358949184418,3.0703664151827494
