Ni,Nhs,No,activation_function,lr,batch_size,discount_rate,position_weight,position_exponent,angle_weight,angle_exponent,bad_state_penalty,update_target_net_every,num_episodes,final_score,train_time
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,"[84, 148]",2,<class 'torch.nn.modules.activation.Tanh'>,0.069819302977839,193,0.910152022977162,-1.42491838525651,2,-6.47446482947165,1,0,7,579,500,7.0544126033783
4,"[69, 113]",2,<class 'torch.nn.modules.activation.Tanh'>,0.032161759525582,224,0.919850200027533,-1.82778549327782,2,-7.34193366160865,1,0,10,460,500,6.37306172847748
4,"[66, 106]",2,<class 'torch.nn.modules.activation.Tanh'>,0.031347255669605,300,0.941296413954574,-1.89280258251138,2,-5.75026578599117,1,0,9,575,500,5.07651317516963
4,"[95, 115]",2,<class 'torch.nn.modules.activation.Tanh'>,0.01688318289038,220,0.982980448669852,-1.29368346746748,2,-7.69440430760398,1,0,10,611,500,7.29075393676758
4,"[80, 88]",2,<class 'torch.nn.modules.activation.Tanh'>,0.002738922107673,167,0.99744249866436,-1.46580384279286,2,-6.96824356081878,1,0,5,495,500,1.40008002916972
4,"[134, 171]",2,<class 'torch.nn.modules.activation.Tanh'>,0.00992023954941,361,0.833533458101672,-1.82731793616778,2,-4.97610383914334,1,0,7,967,500,12.7692092855771
4,"[53, 144]",2,<class 'torch.nn.modules.activation.Tanh'>,0.034229222598804,244,0.912636076770535,-1.36740034909438,2,-0.025647250524604,2,0,12,1000,115.7,5.63021390040716
4,"[95, 204]",2,<class 'torch.nn.modules.activation.Tanh'>,0.082732883590242,155,0.921146713720914,-1.57056306826183,2,-5.97112123616843,2,0,10,1000,212,6.80193239450455
4,"[64, 78]",2,<class 'torch.nn.modules.activation.Tanh'>,0.161438775367263,188,0.793531501390669,-1.61370472955817,2,-7.97850625121548,3,0,8,1000,89.7,4.98807884454727
4,"[80, 87]",2,<class 'torch.nn.modules.activation.Tanh'>,0.002477519733103,169,0.98666848226956,-1.45576511738339,2,-7.10680228433661,1,0,5,374,500,1.14799978335698
4,"[113, 98]",2,<class 'torch.nn.modules.activation.Tanh'>,0.002332961228312,213,0.953349817694026,-1.32779723254152,2,-6.61227846251342,1,0,3,414,500,1.53354470729828
4,"[180, 84]",2,<class 'torch.nn.modules.activation.Tanh'>,0.001495027825587,136,0.959270984726911,-1.03566617038191,2,-6.55329456613791,1,0,3,587,500,1.64288253386815
4,"[131, 100]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000476816896154,177,0.998134989133499,-1.2885013807952,2,-6.7319950395403,1,0,5,1000,24.3,1.53359446922938
4,"[110, 65]",2,<class 'torch.nn.modules.activation.Tanh'>,0.002749874346686,277,0.854838121077348,-1.35052807992488,2,-4.81113606456714,1,0,4,811,500,2.41269931793213
4,"[101, 130]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000627766035312,212,0.969700072946937,-1.47853189093526,2,-3.90844141121571,1,0,5,1000,58.2,1.15791452725728
4,"[40, 101]",2,<class 'torch.nn.modules.activation.Tanh'>,0.003460888954667,158,0.89023269227928,-1.25325359108699,2,-6.36136345291932,1,0,7,1000,267,6.23248252471288
4,"[56, 121]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000922777287924,179,0.82510079603218,-0.981488159825996,2,-7.21217326928991,1,0,3,1000,43.1,1.27078103621801
4,"[82, 91]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000223014729513,246,0.69158467129625,-1.12401515925989,2,-5.34216666978999,1,0,4,1000,33.3,1.13506805499395
