channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss,train_time
"[6, 11, 14]","[3, 5, 4]","[2, 4, 2]","[0, 1, 1]","[0.30188818573634, 0.1752838785641403]","[161, 77]",0.0001770923192502796,4.863271412070489e-05,0.3319490849971771,0.2152952253818512,5.1583965162436165
"[6, 12, 12]","[6, 5, 4]","[2, 3, 4]","[0, 1, 0]","[0.5112941965855013, 0.15089695478030826]","[163, 75]",0.0416075382374491,2.455611525964226e-07,2.3031349182128906,2.302924156188965,1.9704966922601064
"[6, 12]","[3, 4]","[4, 4]","[1, 0]","[0.33412619697569734, 0.2701111722351491]","[70, 86]",3.689170401795695e-05,0.0012513559522649494,1.4782288074493408,1.3363604545593262,5.985882405440012
"[5, 11, 5]","[4, 4, 3]","[3, 3, 3]","[0, 1, 1]","[0.25496502699318285, 0.3069284780243364]","[194, 70]",3.23055566765832e-05,1.033785280704225e-06,1.0437328815460205,0.8158886432647705,6.36179056763649
"[5, 10]","[4, 3]","[3, 3]","[0, 1]","[0.20295354314657874, 0.3288719591911323]","[216, 82]",6.352427594584943e-05,0.00015507623371027051,0.2600356936454773,0.14773553609848022,6.0455435574054714
"[4, 9, 4]","[4, 3, 5]","[3, 3, 3]","[0, 1, 1]","[0.20389414329820757, 0.21365227867721198]","[255, 77]",0.00010008723665836914,1.0366513015804173e-06,0.809173047542572,0.6275739669799805,5.877369167407354
"[4, 8]","[5, 3]","[3, 3]","[0, 1]","[0.17560930706132336, 0.21094663231372873]","[222, 76]",7.409413821103172e-05,9.680046197045469e-06,0.2406366467475891,0.14103427529335022,7.868362762530645
