number,value,datetime_start,datetime_complete,duration,params_N_latent,params_Nh1,params_Nh2,params_Nh3,params_ch1,params_ch2,params_ch3,params_ch4,params_ks1,params_ks2,params_ks3,params_ks4,params_lr,params_ncl,params_nll,params_p1,params_p2,params_p3,params_padding1,params_padding2,params_padding3,params_padding4,params_patience,params_prune_every,params_pruning_amount1,params_pruning_amount2,params_pruning_amount3,params_pruning_amount4,params_stride1,params_stride2,params_stride3,params_stride4,params_train_batch_size,params_weight_decay,state
13,,2021-01-18 20:20:04.452604,2021-01-18 20:36:49.230800,0 days 00:16:44.778196,16.0,13.0,124.0,8.0,6.0,8.0,15.0,62.0,4.0,3.0,5.0,6.0,0.01452976963278018,4.0,3.0,0.47402834192061455,0.26654342366547773,0.25748243427028195,2.0,0.0,2.0,3.0,10.0,2.0,0.2003353206816868,0.24111279139082045,0.03297301157833887,0.2936789155480339,4.0,4.0,2.0,2.0,491.0,1.3240342248757986e-06,PRUNED
14,,2021-01-18 20:36:49.255510,2021-01-18 20:49:00.736488,0 days 00:12:11.480978,3.0,36.0,41.0,,5.0,12.0,21.0,,3.0,5.0,5.0,,0.0026177011594046983,3.0,2.0,0.31142477017717074,0.05311005464455715,,0.0,1.0,2.0,,10.0,8.0,0.4278013401334911,0.10181378538411248,0.37469551538332985,0.11582349466453828,3.0,3.0,4.0,,141.0,0.08185284818535792,PRUNED
15,,2021-01-18 20:49:00.758718,2021-01-18 21:11:39.680887,0 days 00:22:38.922169,12.0,80.0,12.0,33.0,7.0,9.0,10.0,27.0,2.0,6.0,3.0,6.0,3.164213359729913e-05,4.0,3.0,0.4175276592733554,0.44662233017034514,0.6975998789506601,0.0,3.0,1.0,3.0,16.0,10.0,0.3949309312728096,0.16692598272534317,0.19558931656694933,0.2329815323753042,4.0,4.0,3.0,3.0,330.0,0.0006339443554051384,PRUNED
16,0.20355933208105959,2021-01-18 21:11:39.704955,2021-01-18 21:38:15.511000,0 days 00:26:35.806045,5.0,123.0,107.0,,4.0,13.0,,,4.0,4.0,,,0.003263268140416866,2.0,2.0,0.011786225950111473,0.11885128396160982,,2.0,2.0,,,5.0,3.0,0.0021900409857431025,0.2601908599482974,0.0769949494128358,0.2903303761684077,3.0,3.0,,,223.0,1.2277389161805274e-05,COMPLETE
17,,2021-01-18 21:38:15.548676,2021-01-18 21:40:50.380688,0 days 00:02:34.832012,4.0,220.0,125.0,,5.0,16.0,,,4.0,4.0,,,0.004120613802897278,2.0,2.0,0.0007511161666041155,0.012929057995030697,,2.0,1.0,,,4.0,2.0,0.02868076072918315,0.2747473575183358,0.3678302557751517,0.10413890248227092,2.0,2.0,,,145.0,0.06901252118008215,PRUNED
18,0.34914831321911016,2021-01-18 21:40:50.402900,2021-01-18 21:49:12.552572,0 days 00:08:22.149672,5.0,132.0,,,4.0,14.0,,,6.0,5.0,,,0.025852228949984252,2.0,1.0,0.5379325392087557,,,2.0,2.0,,,6.0,0.0,0.016752466104095143,0.27189684813550896,0.07149525765544326,0.2985831765161262,3.0,3.0,,,232.0,1.901756785691405e-05,COMPLETE
19,0.2331153276396195,2021-01-18 21:49:12.586751,2021-01-18 21:54:01.670807,0 days 00:04:49.084056,5.0,144.0,,,4.0,14.0,,,5.0,4.0,,,0.026732535228795897,2.0,1.0,0.6673735597728592,,,2.0,2.0,,,5.0,0.0,0.012582615634517276,0.43357322992454783,0.06363046607023817,0.31521538103318514,3.0,3.0,,,244.0,1.3347881499478832e-05,COMPLETE
20,0.24603083582768837,2021-01-18 21:54:01.707475,2021-01-18 22:03:59.901739,0 days 00:09:58.194264,8.0,255.0,,,4.0,16.0,,,5.0,3.0,,,0.024321083765786743,2.0,1.0,0.6930535161589162,,,2.0,1.0,,,5.0,0.0,0.06925363290289084,0.4874233999327354,0.05397728027243823,0.3215667843627831,2.0,2.0,,,286.0,3.903827772207672e-06,COMPLETE
21,,2021-01-18 22:03:59.939392,2021-01-18 22:08:34.175056,0 days 00:04:34.235664,8.0,244.0,,,4.0,16.0,,,5.0,3.0,,,0.09716453155604232,2.0,1.0,0.681793999998745,,,2.0,1.0,,,5.0,0.0,0.07674170787849657,0.4946845203359894,0.052997119525096184,0.33933734520944825,2.0,2.0,,,283.0,4.295241959701351e-06,PRUNED
22,0.2655317909754515,2021-01-18 22:08:34.201674,2021-01-18 22:15:32.954624,0 days 00:06:58.752950,9.0,153.0,,,5.0,14.0,,,5.0,4.0,,,0.024278927116888446,2.0,1.0,0.6946354295168471,,,2.0,2.0,,,5.0,2.0,0.0072011781659621025,0.424584863300233,0.0934647980988448,0.49146597917433676,2.0,2.0,,,292.0,1.7512719370618837e-05,COMPLETE
